"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-04","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"-1.1",",,X","-5.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-05","0.5",",,X,2400","10.0",",,X,","0.0","T,,X,",,,"0.0",",,X","-2.2",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-06","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"3.9",",,X","-1.7",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-07","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"0.0",",,X","-3.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-08","29.2",",,X,2400","160.0",",,X,","0.0",",,X,",,,"1.1",",,X","-2.8",",,X",,,"    1",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-09","9.7",",,X,2400","130.0",",,X,","279.0",",,Z,",,,"0.0",",,X","-6.1",",,X",,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-10","0.0",",,X,2400","0.0",",,X,","254.0",",,X,",,,"2.2",",,X","-7.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-11","12.4",",,X,2400","0.0",",,X,","229.0",",,X,",,,"7.2",",,X","1.1",",,X",,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-12","0.0",",,X,2400","0.0",",,X,","102.0",",,X,",,,"6.7",",,X","2.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-13","0.8",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"6.7",",,X","0.6",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-14","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"7.8",",,X","0.6",",,X",,,"    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-15","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"12.8",",,X","2.8",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-16","0.5",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"5.0",",,X","-0.6",",,X",,,"    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-17","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"0.0",",,X","-7.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-18","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"1.7",",,X","-8.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-19","3.8",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","0.6",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-20","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"3.3",",,X","-3.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-21","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"1.1",",,X","-4.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
